accession_name,Treatment,Root weight,Shoot weight,Root length,Shoot length,Root Na+,Root K+,Shoot Na+,Shoot K+,SES,Chlorophyll A,Chlorophyll B
IRGC 29116,Stress,46,257,5.5,33,0.066192333,0.005063174,0.010274626,0.028384607,5,0.012084536,0.01169984
IRGC 31812,Stress,96,591,9.5,39.5,0.066130103,0.019137867,0.176172072,0.043034727,5,0.022269134,0.02289468
IRGC 29221,Stress,44,145,6.5,32.5,0.066130103,0.016041125,0.193915796,0.043867997,9,0.001951266,0.00247248
IRGC 29031,Stress,71,386,9.5,38.5,0.066130103,0.014492754,0.186878366,0.037041033,7,0.014978954,0.0144026
IRGC 38130,Stress,60,293,12,33,0.066130103,0.012944383,0.133898938,0.031122259,5,0.013034104,0.0072518
IRGC 8593,Stress,48,249,9,34.5,0.066130103,0.011396011,0.158065051,0.02263437,8,0.006213094,0.00631048
IRGC 29131,Control,82,622,10,50,0.066005642,0.066703828,0.016062748,0.007134894,,0.019081986,0.01881832
IRGC 5809,Control,79,741,7,54,0.066005642,0.062058714,0.008674711,0.005890004,,0.012232104,0.01174832
IRGC 29083,Control,94,737,8,59.5,0.066005642,0.052768488,0.011485177,0.003335191,,0.01701042,0.01621656
IRGC 27536,Stress,106,662,9,44.5,0.066005642,0.005481234,0.215233986,0.019695281,5,0.01699839,0.01623676
IRGC 37815,Stress,92,590,9.5,43.5,0.06563226,0.01270903,0.106280744,0.032390999,6,0.017096234,0.01633372
IRGC 25880,Stress,39,404,7.5,36.5,0.064871667,0.017310789,0.118680164,0.036169949,7,0.014027782,0.01336634
IRGC 26772,Stress,73,249,11,42,0.064570196,0.017985879,0.150163246,0.046148661,8,0.010721136,0.0110595
IRGC 26384,Stress,46,397,7.5,43.25,0.064570196,0.015198811,0.092515765,0.044210549,7,0.008286264,0.00803152
IRGC 29004,Stress,88,402,11,40,0.064570196,0.014269788,0.138520955,0.032701598,5,0.017466758,0.01647108
IRGC 38390,Stress,71,596,9.5,44,0.064570196,0.013340766,0.093228489,0.0365892,6,0.01471269,0.01362288
IRGC 77226,Stress,104,490,11.5,43.4,0.064570196,0.008695652,0.10205775,0.047434804,6,0.022799256,0.0235229
IRGC 34749,Stress,74,442,8,38,0.064117989,0.0143534,0.1368865,0.028822362,5,0.017562998,0.01702052
IRGC 37562,Stress,68,346,9,36.5,0.064117989,0.013192122,0.141814044,0.027499071,7,0.016558894,0.01645896
IRGC 31611,Stress,97,623,8.5,42,0.064117989,0.011566332,0.115303921,0.028799703,5,0.010689858,0.01017474
